trial,seed,configuration,manual_rebalancing,incentive_rebalancing,fleet_size,mean_satisfied_ratio,mean_rebalanced_vehicles_manually,mean_rebalanced_vehicles_incentives,max_satisfied_ratio,min_satisfied_ratio,mean_gini_index
0,15795,Both_Enabled_900,True,True,900,0.785096496004798,0.02,35.865,1.0,0.2719242902208202,0.3764914471172203
0,15795,Manual_Only_900,True,False,900,0.8042177612644279,0.02,0.0,1.0,0.28517350157728705,0.4068441389843452
0,15795,Incentive_Only_900,False,True,900,0.7790279221556361,0.0,36.685,1.0,0.277602523659306,0.38414354715540283
0,15795,No_Rebalancing_900,False,False,900,0.8045289632685807,0.0,0.0,1.0,0.29779179810725553,0.3921093738067965
0,15795,Both_Enabled_600,True,True,600,0.6826805465646346,0.14,46.3425,1.0,0.2,0.42720756013745714
0,15795,Manual_Only_600,True,False,600,0.6999614461809522,0.14,0.0,1.0,0.2025236593059937,0.4783197594501719
0,15795,Incentive_Only_600,False,True,600,0.6750809106621631,0.0,47.285,1.0,0.19369085173501577,0.4297481958762887
0,15795,No_Rebalancing_600,False,False,600,0.6982529889433456,0.0,0.0,1.0,0.20441640378548895,0.46350183276059576
0,15795,Both_Enabled_1200,True,True,1200,0.8499900092384933,0.0,27.73,1.0,0.3438485804416404,0.3517095504009164
0,15795,Manual_Only_1200,True,False,1200,0.8528815591510195,0.0,0.0,1.0,0.3362776025236593,0.36579195303550976
0,15795,Incentive_Only_1200,False,True,1200,0.8573338556973493,0.0,26.24,1.0,0.3280757097791798,0.3403882159221077
0,15795,No_Rebalancing_1200,False,False,1200,0.8677823123017072,0.0,0.0,1.0,0.36908517350157727,0.3429189576174113
1,860,Both_Enabled_900,True,True,900,0.7969295816011407,0.02,34.63,1.0,0.2725552050473186,0.37345809469263075
1,860,Manual_Only_900,True,False,900,0.8048117374690125,0.02,0.0,1.0,0.2769716088328076,0.4061610347460863
1,860,Incentive_Only_900,False,True,900,0.7963161189746377,0.0,35.2025,1.0,0.27003154574132493,0.3719367697594501
1,860,No_Rebalancing_900,False,False,900,0.8051414880810435,0.0,0.0,1.0,0.294006309148265,0.39511660939289805
1,860,Both_Enabled_600,True,True,600,0.6883749738772034,0.14,46.1625,1.0,0.1968454258675079,0.4257187571592212
1,860,Manual_Only_600,True,False,600,0.7026483983726888,0.14,0.0,1.0,0.21198738170347003,0.47725266323024057
1,860,Incentive_Only_600,False,True,600,0.6740887560028128,0.0,46.6825,1.0,0.19116719242902208,0.4360424112256587
1,860,No_Rebalancing_600,False,False,600,0.6844671680317879,0.0,0.0,0.95,0.19936908517350158,0.47816832760595657
1,860,Both_Enabled_1200,True,True,1200,0.8593291291753866,0.0,26.1025,1.0,0.33817034700315457,0.3534427691867126
1,860,Manual_Only_1200,True,False,1200,0.8722826903507963,0.0,0.0,1.0,0.3621451104100946,0.3690957760595648
1,860,Incentive_Only_1200,False,True,1200,0.8611748632574582,0.0,26.095,1.0,0.35583596214511043,0.34560579896907223
1,860,No_Rebalancing_1200,False,False,1200,0.8569724496613711,0.0,0.0,1.0,0.3438485804416404,0.36372338201603666
2,76820,Both_Enabled_900,True,True,900,0.7825645982257448,0.02,36.7225,1.0,0.2593059936908517,0.3792229285987018
2,76820,Manual_Only_900,True,False,900,0.8013100422434754,0.02,0.0,1.0,0.2883280757097792,0.41136303932798773
2,76820,Incentive_Only_900,False,True,900,0.781121252973591,0.0,36.8075,1.0,0.25678233438485804,0.3849098319969454
2,76820,No_Rebalancing_900,False,False,900,0.7929333451081237,0.0,0.0,1.0,0.27886435331230286,0.39426036655211916
2,76820,Both_Enabled_600,True,True,600,0.6840648165031064,0.61,46.68,1.0,0.18485804416403787,0.44767502863688435
2,76820,Manual_Only_600,True,False,600,0.697107744091478,0.14,0.0,1.0,0.20126182965299685,0.4681885738831616
2,76820,Incentive_Only_600,False,True,600,0.6691746173166752,0.0,47.4225,1.0,0.19936908517350158,0.4364809851088202
2,76820,No_Rebalancing_600,False,False,600,0.6853764862990339,0.0,0.0,1.0,0.1892744479495268,0.4727259450171822
2,76820,Both_Enabled_1200,True,True,1200,0.8533031744599933,0.0,27.0,1.0,0.350788643533123,0.350453350515464
2,76820,Manual_Only_1200,True,False,1200,0.8530785962622142,0.0,0.0,1.0,0.3482649842271293,0.37369219644902635
2,76820,Incentive_Only_1200,False,True,1200,0.8524879912169885,0.0,26.345,1.0,0.35205047318611987,0.34960194730813293
2,76820,No_Rebalancing_1200,False,False,1200,0.8599666110842952,0.0,0.0,1.0,0.3463722397476341,0.37105426689576176
3,54886,Both_Enabled_900,True,True,900,0.7920499903724398,0.02,35.3975,1.0,0.27003154574132493,0.38614558991981673
3,54886,Manual_Only_900,True,False,900,0.8070210214062951,0.02,0.0,1.0,0.2921135646687697,0.40845983199694547
3,54886,Incentive_Only_900,False,True,900,0.7959368401775785,0.0,34.4525,1.0,0.2750788643533123,0.38486494845360825
3,54886,No_Rebalancing_900,False,False,900,0.8067224525046242,0.0,0.0,1.0,0.2996845425867508,0.39455826651393666
3,54886,Both_Enabled_600,True,True,600,0.689356234834964,0.175,45.7725,1.0,0.2,0.4293336769759451
3,54886,Manual_Only_600,True,False,600,0.6965232686079258,0.14,0.0,1.0,0.19558359621451105,0.4724574742268042
3,54886,Incentive_Only_600,False,True,600,0.6832921215340807,0.0,46.045,1.0,0.1886435331230284,0.4309279209621994
3,54886,No_Rebalancing_600,False,False,600,0.6841066672971945,0.0,0.0,1.0,0.20063091482649842,0.4753955040091638
3,54886,Both_Enabled_1200,True,True,1200,0.864237456623022,0.0,26.015,1.0,0.3627760252365931,0.3409973224513173
3,54886,Manual_Only_1200,True,False,1200,0.8544141205608531,0.0,0.0,1.0,0.33943217665615144,0.368468184421535
3,54886,Incentive_Only_1200,False,True,1200,0.8636399766815902,0.0,25.375,1.0,0.35709779179810724,0.3435034793814434
3,54886,No_Rebalancing_1200,False,False,1200,0.8669493875216623,0.0,0.0,1.0,0.36529968454258677,0.361026016609393
4,6265,Both_Enabled_900,True,True,900,0.790495716280794,0.02,36.2825,1.0,0.2763406940063092,0.37549362352042764
4,6265,Manual_Only_900,True,False,900,0.8005587354262284,0.02,0.0,1.0,0.277602523659306,0.40140996563573883
4,6265,Incentive_Only_900,False,True,900,0.7968851213317427,0.0,34.705,1.0,0.277602523659306,0.3892604429171439
4,6265,No_Rebalancing_900,False,False,900,0.795040900546511,0.0,0.0,1.0,0.2832807570977918,0.40922048491790763
4,6265,Both_Enabled_600,True,True,600,0.6716386090428963,0.315,47.25,1.0,0.18990536277602524,0.4490346506300115
4,6265,Manual_Only_600,True,False,600,0.7035330608115667,0.1925,0.0,1.0,0.2,0.4631357388316152
4,6265,Incentive_Only_600,False,True,600,0.6814753488247711,0.0,45.8675,1.0,0.2,0.4344078465063002
4,6265,No_Rebalancing_600,False,False,600,0.7076514918740975,0.0,0.0,1.0,0.2088328075709779,0.4669679266895762
4,6265,Both_Enabled_1200,True,True,1200,0.8601295853845508,0.0,25.815,1.0,0.3602523659305994,0.34367130584192446
4,6265,Manual_Only_1200,True,False,1200,0.8476610311445691,0.0,0.0,1.0,0.3495268138801262,0.3605799971363116
4,6265,Incentive_Only_1200,False,True,1200,0.8602884172272135,0.0,25.3975,1.0,0.3438485804416404,0.35072442726231395
4,6265,No_Rebalancing_1200,False,False,1200,0.8699460037202799,0.0,0.0,1.0,0.3665615141955836,0.3608610824742269
5,82386,Both_Enabled_900,True,True,900,0.7928268775500142,0.02,34.8875,1.0,0.26876971608832806,0.3827629820542192
5,82386,Manual_Only_900,True,False,900,0.8015888246623821,0.02,0.0,1.0,0.2750788643533123,0.41815437189767096
5,82386,Incentive_Only_900,False,True,900,0.7879891303131322,0.0,35.85,1.0,0.27003154574132493,0.39271145475372277
5,82386,No_Rebalancing_900,False,False,900,0.8020659701592016,0.0,0.0,1.0,0.2858044164037855,0.4103706758304696
5,82386,Both_Enabled_600,True,True,600,0.6813952956476982,0.1225,46.36,1.0,0.18359621451104102,0.4325541809851089
5,82386,Manual_Only_600,True,False,600,0.7174069279304777,0.1225,0.0,0.967741935483871,0.21577287066246056,0.46673227376861404
5,82386,Incentive_Only_600,False,True,600,0.6657414264094001,0.0,48.0125,1.0,0.17665615141955837,0.42810220504009167
5,82386,No_Rebalancing_600,False,False,600,0.6995043834728938,0.0,0.0,1.0,0.19179810725552052,0.4625152348224514
5,82386,Both_Enabled_1200,True,True,1200,0.8680080703977836,0.0,25.575,1.0,0.36908517350157727,0.3502512886597938
5,82386,Manual_Only_1200,True,False,1200,0.8682505317292916,0.0,0.0,1.0,0.35646687697160884,0.37364123711340214
5,82386,Incentive_Only_1200,False,True,1200,0.8422080995831134,0.0,28.99,1.0,0.338801261829653,0.3492175400916381
5,82386,No_Rebalancing_1200,False,False,1200,0.8710303711056825,0.0,0.0,1.0,0.36971608832807573,0.35092999713631157
6,37194,Both_Enabled_900,True,True,900,0.796916315697526,0.02,35.305,1.0,0.29905362776025235,0.3714066819396716
6,37194,Manual_Only_900,True,False,900,0.8000609355506471,0.02,0.0,1.0,0.28138801261829655,0.41674173348606336
6,37194,Incentive_Only_900,False,True,900,0.8000241804111795,0.0,34.305,1.0,0.28454258675078864,0.37430878197785417
6,37194,No_Rebalancing_900,False,False,900,0.8012412713857644,0.0,0.0,1.0,0.2902208201892745,0.40349704085528826
6,37194,Both_Enabled_600,True,True,600,0.6669304685496859,0.2625,47.6925,1.0,0.17413249211356466,0.44753599656357396
6,37194,Manual_Only_600,True,False,600,0.7177104839121643,0.2275,0.0,1.0,0.21198738170347003,0.4773223940435281
6,37194,Incentive_Only_600,False,True,600,0.6833640876381615,0.0,46.82,1.0,0.18548895899053627,0.4330459621993128
6,37194,No_Rebalancing_600,False,False,600,0.7031473858422571,0.0,0.0,1.0,0.1974763406940063,0.46895827605956475
6,37194,Both_Enabled_1200,True,True,1200,0.8475753082498961,0.0,28.5775,1.0,0.3198738170347003,0.3440359679266896
6,37194,Manual_Only_1200,True,False,1200,0.8635648790722282,0.0,0.0,1.0,0.3470031545741325,0.3525454037800688
6,37194,Incentive_Only_1200,False,True,1200,0.8580655147476135,0.0,25.79,1.0,0.35205047318611987,0.3388683991981673
6,37194,No_Rebalancing_1200,False,False,1200,0.8598525735194208,0.0,0.0,1.0,0.3583596214511041,0.3529023625429554
7,87498,Both_Enabled_900,True,True,900,0.795513368475135,0.02,34.985,1.0,0.2637223974763407,0.38553680794196254
7,87498,Manual_Only_900,True,False,900,0.7994625995121513,0.02,0.0,1.0,0.2807570977917981,0.4081922298587247
7,87498,Incentive_Only_900,False,True,900,0.7942725727726869,0.0,35.0575,1.0,0.2902208201892745,0.37768837342497136
7,87498,No_Rebalancing_900,False,False,900,0.7952378869121378,0.0,0.0,1.0,0.28138801261829655,0.40631872852233675
7,87498,Both_Enabled_600,True,True,600,0.6874378855562155,0.1225,46.4825,1.0,0.18990536277602524,0.43645128865979393
7,87498,Manual_Only_600,True,False,600,0.6983031425993402,0.1925,0.0,1.0,0.20694006309148266,0.4729994272623139
7,87498,Incentive_Only_600,False,True,600,0.672478263243066,0.0,46.0175,1.0,0.19305993690851736,0.4368781500572739
7,87498,No_Rebalancing_600,False,False,600,0.6930773367584344,0.0,0.0,1.0,0.1861198738170347,0.4871658648339061
7,87498,Both_Enabled_1200,True,True,1200,0.855425565406216,0.0,27.1925,1.0,0.3476340694006309,0.345289819587629
7,87498,Manual_Only_1200,True,False,1200,0.8605334658800302,0.0,0.0,1.0,0.35583596214511043,0.36362909507445595
7,87498,Incentive_Only_1200,False,True,1200,0.8589755009308269,0.0,26.1,1.0,0.3362776025236593,0.348628164375716
7,87498,No_Rebalancing_1200,False,False,1200,0.8603387763609635,0.0,0.0,1.0,0.350788643533123,0.366445045819015
8,44131,Both_Enabled_900,True,True,900,0.7882338661098188,0.02,35.27,1.0,0.27129337539432175,0.3792310996563573
8,44131,Manual_Only_900,True,False,900,0.8116794602028138,0.02,0.0,1.0,0.2902208201892745,0.4000500763650248
8,44131,Incentive_Only_900,False,True,900,0.7900493897147226,0.0,35.945,1.0,0.2637223974763407,0.39734203894616266
8,44131,No_Rebalancing_900,False,False,900,0.7965231617059885,0.0,0.0,1.0,0.26750788643533124,0.40631471935853375
8,44131,Both_Enabled_600,True,True,600,0.6839417671464245,0.1225,46.8775,1.0,0.18990536277602524,0.4349739977090493
8,44131,Manual_Only_600,True,False,600,0.6966141837710516,0.1225,0.0,1.0,0.20189274447949526,0.4685628865979382
8,44131,Incentive_Only_600,False,True,600,0.6838305398598951,0.0,46.455,1.0,0.20189274447949526,0.43441835624284086
8,44131,No_Rebalancing_600,False,False,600,0.6914273422251318,0.0,0.0,1.0,0.1974763406940063,0.48159295532646057
8,44131,Both_Enabled_1200,True,True,1200,0.8437567852180023,0.0,28.0725,1.0,0.3160883280757098,0.3612039805269187
8,44131,Manual_Only_1200,True,False,1200,0.8514290012408656,0.0,0.0,1.0,0.33690851735015775,0.36214617697594503
8,44131,Incentive_Only_1200,False,True,1200,0.8591930163589315,0.0,27.035,1.0,0.34006309148264985,0.3450538946162658
8,44131,No_Rebalancing_1200,False,False,1200,0.8500921176683244,0.0,0.0,1.0,0.3362776025236593,0.36218771477663236
9,60263,Both_Enabled_900,True,True,900,0.7823527219158234,0.02,36.2325,1.0,0.28517350157728705,0.39141960672012216
9,60263,Manual_Only_900,True,False,900,0.8046674297859524,0.02,0.0,1.0,0.28454258675078864,0.3980086101565483
9,60263,Incentive_Only_900,False,True,900,0.7903630006428988,0.0,35.13,1.0,0.2801261829652997,0.3795411607483773
9,60263,No_Rebalancing_900,False,False,900,0.7907401401357776,0.0,0.0,1.0,0.26750788643533124,0.41141750668193966
9,60263,Both_Enabled_600,True,True,600,0.69746178052992,0.175,44.8125,1.0,0.20694006309148266,0.4302016036655212
9,60263,Manual_Only_600,True,False,600,0.6978642106103533,0.175,0.0,1.0,0.20189274447949526,0.4728278636884308
9,60263,Incentive_Only_600,False,True,600,0.6782038307675166,0.0,46.6275,1.0,0.19305993690851736,0.42642104810996573
9,60263,No_Rebalancing_600,False,False,600,0.6971468446949883,0.0,0.0,1.0,0.2056782334384858,0.46240919243986256
9,60263,Both_Enabled_1200,True,True,1200,0.8490165176056962,0.0,28.455,1.0,0.3318611987381703,0.3479198739977092
9,60263,Manual_Only_1200,True,False,1200,0.860331040955989,0.0,0.0,1.0,0.3305993690851735,0.37080844788087064
9,60263,Incentive_Only_1200,False,True,1200,0.849829428658952,0.0,28.11,1.0,0.3324921135646688,0.35500090206185575
